"CustomerID","Recency","Frequency","Monetary","Cluster","CustomerGroup"
12410,308,2,693.33,1,"Inactive Customers"
12412,74,3,1226.88,4,"Regular Customers"
12413,66,3,758.1,4,"Regular Customers"
12414,216,3,562.41,1,"Inactive Customers"
12415,23,21,124914.53,3,"High-Value Customers"
12417,2,9,3649.1,3,"High-Value Customers"
12418,112,1,668.58,1,"Inactive Customers"
12420,63,1,600.39,1,"Inactive Customers"
12421,15,4,807.04,2,"Occasional Customers"
12422,95,3,803.56,4,"Regular Customers"
12423,0,8,1859.31,3,"High-Value Customers"
12424,162,2,1760.96,4,"Regular Customers"
12425,77,1,777.2,1,"Inactive Customers"
12426,194,1,582.73,1,"Inactive Customers"
12427,21,3,825.8,2,"Occasional Customers"
12428,25,9,7956.46,3,"High-Value Customers"
12429,8,4,3750.4,3,"High-Value Customers"
12430,42,1,256.4,1,"Inactive Customers"
12431,35,15,6487.45,3,"High-Value Customers"
12432,42,5,5059.32,4,"Regular Customers"
12433,0,7,13375.87,3,"High-Value Customers"
12434,84,2,806.14,4,"Regular Customers"
12435,79,2,7829.89,4,"Regular Customers"
12436,99,1,509.01,1,"Inactive Customers"
12437,1,18,4951.41,3,"High-Value Customers"
12438,13,2,2906.85,4,"Regular Customers"
12441,366,1,173.55,1,"Inactive Customers"
12442,2,1,172.06,2,"Occasional Customers"
12444,20,5,5005.46,4,"Regular Customers"
12445,21,1,133.4,2,"Occasional Customers"
12446,57,1,1002.31,1,"Inactive Customers"
12447,242,1,476.49,1,"Inactive Customers"
12448,43,1,449.45,1,"Inactive Customers"
12449,21,4,4067.29,4,"Regular Customers"
12450,155,2,197.88,1,"Inactive Customers"
12451,10,5,9035.52,3,"High-Value Customers"
12452,16,2,430.57,2,"Occasional Customers"
12453,133,1,707.09,1,"Inactive Customers"
12454,55,1,3528.34,4,"Regular Customers"
12455,72,6,2466.86,4,"Regular Customers"
12456,43,3,3181.04,4,"Regular Customers"
12457,65,7,2363.23,4,"Regular Customers"
12458,70,2,947.4,4,"Regular Customers"
12461,93,2,826.88,4,"Regular Customers"
12462,18,2,1189.59,2,"Occasional Customers"
12463,52,4,1344.78,4,"Regular Customers"
12464,9,8,1212.05,3,"High-Value Customers"
12465,16,2,742.19,2,"Occasional Customers"
12468,187,2,729.54,1,"Inactive Customers"
12471,1,30,19824.05,3,"High-Value Customers"
12472,31,7,6572.11,3,"High-Value Customers"
12473,28,5,3938.55,4,"Regular Customers"
12474,16,18,7375.79,3,"High-Value Customers"
12475,53,1,723.38,1,"Inactive Customers"
12476,15,11,6816.42,3,"High-Value Customers"
12477,22,6,13219.74,3,"High-Value Customers"
12478,3,1,680.99,2,"Occasional Customers"
12479,10,1,527.2,2,"Occasional Customers"
12480,27,4,3281.63,4,"Regular Customers"
12481,22,10,5596.32,3,"High-Value Customers"
12483,16,8,2484.98,3,"High-Value Customers"
12484,32,6,4541.72,4,"Regular Customers"
12488,9,3,1298.66,2,"Occasional Customers"
12489,335,1,334.93,1,"Inactive Customers"
12490,4,10,5417.93,3,"High-Value Customers"
12491,38,1,460.4,2,"Occasional Customers"
12492,62,2,263.21,1,"Inactive Customers"
12493,165,2,433.74,1,"Inactive Customers"
12494,15,7,1246.1,4,"Regular Customers"
12497,81,1,1043.1,1,"Inactive Customers"
12498,20,3,403.7,2,"Occasional Customers"
12500,22,11,4257.82,3,"High-Value Customers"
12501,336,1,2169.39,1,"Inactive Customers"
12502,95,5,3723.87,4,"Regular Customers"
12504,17,2,482.05,2,"Occasional Customers"
12506,232,1,73.5,1,"Inactive Customers"
12507,133,3,1304.81,4,"Regular Customers"
12508,25,2,398.27,2,"Occasional Customers"
12509,283,1,176.5,1,"Inactive Customers"
12510,142,2,982.57,4,"Regular Customers"
12512,65,2,138.03,1,"Inactive Customers"
12513,112,1,612.29,1,"Inactive Customers"
12514,266,1,1017.68,1,"Inactive Customers"
12515,352,1,383.7,1,"Inactive Customers"
12516,77,2,1312.06,4,"Regular Customers"
12517,27,5,2502.84,4,"Regular Customers"
12518,0,5,2056.89,3,"High-Value Customers"
12519,63,1,340.84,1,"Inactive Customers"
12520,78,5,2634.26,4,"Regular Customers"
12521,142,1,599.68,1,"Inactive Customers"
12522,38,2,192.72,2,"Occasional Customers"
12523,18,11,1789.77,3,"High-Value Customers"
12524,8,8,4485.72,3,"High-Value Customers"
12526,0,3,1316.66,2,"Occasional Customers"
12527,81,3,348.71,1,"Inactive Customers"
12528,8,6,1933.48,3,"High-Value Customers"
12530,59,4,1662.28,4,"Regular Customers"
12531,14,1,125.22,2,"Occasional Customers"
12532,29,1,349.83,2,"Occasional Customers"
12534,130,1,1089.18,1,"Inactive Customers"
12535,91,2,716.35,1,"Inactive Customers"
12536,42,3,12601.83,4,"Regular Customers"
12538,28,1,363.95,2,"Occasional Customers"
12539,21,4,5568.35,4,"Regular Customers"
12540,19,17,13400.24,3,"High-Value Customers"
12541,29,3,981.18,4,"Regular Customers"
12544,35,1,372.7,2,"Occasional Customers"
12545,74,2,1000.39,4,"Regular Customers"
12546,46,2,1161.5,4,"Regular Customers"
12547,197,2,207.8,1,"Inactive Customers"
12548,165,1,95.2,1,"Inactive Customers"
12550,78,1,964.83,1,"Inactive Customers"
12551,357,1,168,1,"Inactive Customers"
12552,38,2,437.82,2,"Occasional Customers"
12553,7,10,3692.28,3,"High-Value Customers"
12556,49,2,603.71,2,"Occasional Customers"
12557,15,5,11990.96,3,"High-Value Customers"
12558,7,1,269.96,2,"Occasional Customers"
12559,310,2,561.71,1,"Inactive Customers"
12560,4,3,2134.01,2,"Occasional Customers"
12561,302,1,238.85,1,"Inactive Customers"
12562,7,7,3781.74,3,"High-Value Customers"
12564,260,1,456.9,1,"Inactive Customers"
12565,288,1,145.92,1,"Inactive Customers"
12566,85,1,351.65,1,"Inactive Customers"
12567,22,10,9401.28,3,"High-Value Customers"
12569,1,32,4124.69,3,"High-Value Customers"
12571,39,2,519.61,2,"Occasional Customers"
12572,8,2,1020.42,2,"Occasional Customers"
12573,226,1,160.54,1,"Inactive Customers"
12574,315,1,218.45,1,"Inactive Customers"
12576,35,5,1315.83,4,"Regular Customers"
12577,34,3,657.8,4,"Regular Customers"
12578,20,2,2794.51,4,"Regular Customers"
12579,77,1,440.42,1,"Inactive Customers"
12580,246,1,415.7,1,"Inactive Customers"
12581,39,1,197.71,1,"Inactive Customers"
12582,238,2,511.36,1,"Inactive Customers"
12583,2,15,7281.38,3,"High-Value Customers"
12584,3,9,2338.15,3,"High-Value Customers"
12585,233,2,2040.1,4,"Regular Customers"
12586,16,1,196.94,2,"Occasional Customers"
12587,7,1,144,2,"Occasional Customers"
12588,38,1,214.9,1,"Inactive Customers"
12589,28,2,646.68,2,"Occasional Customers"
12590,210,2,9864.26,4,"Regular Customers"
12591,316,1,452.85,1,"Inactive Customers"
12592,91,2,437.6,1,"Inactive Customers"
12593,108,3,418.1,1,"Inactive Customers"
12594,37,10,3338.22,3,"High-Value Customers"
12596,50,2,618.27,4,"Regular Customers"
12597,18,4,3811.22,4,"Regular Customers"
12598,9,8,3023.08,3,"High-Value Customers"
12599,28,7,1032.58,4,"Regular Customers"
12600,28,10,2599.04,3,"High-Value Customers"
12601,189,5,577.06,4,"Regular Customers"
12602,58,1,153.12,1,"Inactive Customers"
12603,21,1,739.2,2,"Occasional Customers"
12604,78,2,254.18,1,"Inactive Customers"
12607,59,1,1579.51,4,"Regular Customers"
12609,77,3,1126.85,4,"Regular Customers"
12610,22,5,2099.54,4,"Regular Customers"
12611,51,1,1193.32,4,"Regular Customers"
12612,73,1,704.04,1,"Inactive Customers"
12613,56,5,3344.38,4,"Regular Customers"
12614,277,1,315.6,1,"Inactive Customers"
12615,1,4,2291.19,3,"High-Value Customers"
12616,94,2,713.3,1,"Inactive Customers"
12617,28,1,355.53,2,"Occasional Customers"
12618,21,1,177.31,2,"Occasional Customers"
12619,15,9,3641.24,3,"High-Value Customers"
12620,14,3,1339.41,4,"Regular Customers"
12621,1,20,13689.67,3,"High-Value Customers"
12622,231,1,180.1,1,"Inactive Customers"
12623,275,1,305.1,1,"Inactive Customers"
12624,105,2,641.13,1,"Inactive Customers"
12625,211,2,2683.82,4,"Regular Customers"
12626,22,9,6620.48,3,"High-Value Customers"
12627,10,7,4478.53,3,"High-Value Customers"
12628,3,3,786.46,2,"Occasional Customers"
12630,9,2,1270.88,2,"Occasional Customers"
12631,56,1,640.5,1,"Inactive Customers"
12633,58,4,2163.98,4,"Regular Customers"
12635,89,2,1689.18,4,"Regular Customers"
12637,66,8,6021.9,4,"Regular Customers"
12638,32,1,671.69,2,"Occasional Customers"
12639,238,1,486.1,1,"Inactive Customers"
12640,23,3,1174.58,4,"Regular Customers"
12641,114,1,185.9,1,"Inactive Customers"
12642,24,3,1013.26,4,"Regular Customers"
12643,127,6,3344.64,4,"Regular Customers"
12644,129,1,477.91,1,"Inactive Customers"
12645,33,4,1775.18,4,"Regular Customers"
12646,4,2,1346.97,2,"Occasional Customers"
12647,21,12,3722.82,3,"High-Value Customers"
12648,154,1,318.05,1,"Inactive Customers"
12649,106,3,623.51,4,"Regular Customers"
12650,2,1,314.44,2,"Occasional Customers"
12651,334,1,114,1,"Inactive Customers"
12652,330,1,919.98,1,"Inactive Customers"
12653,148,2,2209.85,4,"Regular Customers"
12654,10,5,601.98,2,"Occasional Customers"
12656,16,5,4051.17,4,"Regular Customers"
12657,10,4,1643.18,4,"Regular Customers"
12658,18,1,686.05,2,"Occasional Customers"
12659,29,1,91.68,1,"Inactive Customers"
12660,10,1,245.1,2,"Occasional Customers"
12662,0,11,3849.78,3,"High-Value Customers"
12664,7,9,4881.88,3,"High-Value Customers"
12665,324,1,63,1,"Inactive Customers"
12667,57,1,620.13,1,"Inactive Customers"
12668,11,4,3807.15,4,"Regular Customers"
12669,150,3,2744.03,4,"Regular Customers"
12670,9,5,2996.05,3,"High-Value Customers"
12672,329,1,225.9,1,"Inactive Customers"
12673,4,2,610.52,2,"Occasional Customers"
12674,38,4,1970.6,4,"Regular Customers"
12676,24,6,1331.39,4,"Regular Customers"
12678,41,12,17628.46,3,"High-Value Customers"
12679,58,4,1113.02,4,"Regular Customers"
12680,0,4,862.81,2,"Occasional Customers"
12681,14,22,13787.54,3,"High-Value Customers"
12682,3,31,12288.22,3,"High-Value Customers"
12683,3,15,8476.57,3,"High-Value Customers"
12684,7,7,2283.63,3,"High-Value Customers"
12685,27,6,2863.08,4,"Regular Customers"
12686,371,1,89.14,1,"Inactive Customers"
12688,113,1,4873.81,4,"Regular Customers"
12689,25,2,1247.61,4,"Regular Customers"
12690,205,1,389.01,1,"Inactive Customers"
12691,27,6,1035.8,4,"Regular Customers"
12693,126,4,855.91,4,"Regular Customers"
12694,69,2,869.67,4,"Regular Customers"
12695,6,4,582.1,2,"Occasional Customers"
12697,28,3,957.59,4,"Regular Customers"
12700,7,4,4939.99,3,"High-Value Customers"
12701,79,2,797.71,4,"Regular Customers"
12702,19,1,219,2,"Occasional Customers"
12703,70,1,283.55,1,"Inactive Customers"
12704,6,8,2340.84,3,"High-Value Customers"
12705,14,9,6868.29,3,"High-Value Customers"
12707,291,1,603.42,1,"Inactive Customers"
12708,29,10,2712.91,3,"High-Value Customers"
12709,14,15,9736.52,3,"High-Value Customers"
12710,96,3,1149.02,4,"Regular Customers"
12712,28,13,4396.13,3,"High-Value Customers"
12713,0,1,848.55,2,"Occasional Customers"
12714,8,5,4708.86,3,"High-Value Customers"
12715,105,1,353.86,1,"Inactive Customers"
12716,3,2,1053.49,2,"Occasional Customers"
12717,150,2,1030.98,4,"Regular Customers"
12718,70,1,238.25,1,"Inactive Customers"
12719,4,2,644.95,2,"Occasional Customers"
12720,2,25,5781.73,3,"High-Value Customers"
12721,31,6,2656.13,4,"Regular Customers"
12722,84,4,997.63,4,"Regular Customers"
12723,3,5,725.07,2,"Occasional Customers"
12724,4,4,1031.41,2,"Occasional Customers"
12725,370,1,427.8,1,"Inactive Customers"
12726,27,7,2609.1,4,"Regular Customers"
12727,10,7,3980.7,3,"High-Value Customers"
12728,70,4,836.33,4,"Regular Customers"
12729,113,1,453.01,1,"Inactive Customers"
12731,23,12,18895.91,3,"High-Value Customers"
12732,179,1,236.26,1,"Inactive Customers"
12733,233,1,383.95,1,"Inactive Customers"
12734,352,1,110.4,1,"Inactive Customers"
12735,314,2,779.57,1,"Inactive Customers"
12736,332,1,234,1,"Inactive Customers"
12738,371,1,155.35,1,"Inactive Customers"
12739,77,2,1013.04,4,"Regular Customers"
12740,63,1,427.6,1,"Inactive Customers"
12743,133,2,546.43,1,"Inactive Customers"
12744,51,7,21279.29,3,"High-Value Customers"
12747,1,11,4196.01,3,"High-Value Customers"
12748,0,209,33719.73,3,"High-Value Customers"
12749,3,5,4090.88,3,"High-Value Customers"
12750,128,1,275.88,1,"Inactive Customers"
12752,80,1,4366.78,4,"Regular Customers"
12753,22,6,21429.39,3,"High-Value Customers"
12754,235,3,3010.74,4,"Regular Customers"
12755,280,2,3811.95,4,"Regular Customers"
12756,86,1,112.08,1,"Inactive Customers"
12757,15,13,7857.1,3,"High-Value Customers"
12758,116,2,2791.59,4,"Regular Customers"
12759,51,3,1531.44,4,"Regular Customers"
12762,7,2,1898.52,2,"Occasional Customers"
12763,137,2,494.08,1,"Inactive Customers"
12764,316,1,1693.88,1,"Inactive Customers"
12766,3,7,6989.63,3,"High-Value Customers"
12769,238,1,1143.6,1,"Inactive Customers"
12770,210,1,1351.45,1,"Inactive Customers"
12772,59,1,892.47,1,"Inactive Customers"
12775,16,5,1386.04,4,"Regular Customers"
12778,19,6,822.23,4,"Regular Customers"
12779,37,8,3981.36,4,"Regular Customers"
12781,63,2,826.74,4,"Regular Customers"
12782,4,5,2330.92,3,"High-Value Customers"
12783,1,6,2225.91,3,"High-Value Customers"
12784,8,2,574.42,2,"Occasional Customers"
12785,363,1,311.95,1,"Inactive Customers"
12787,9,3,463.66,2,"Occasional Customers"
12789,64,1,91.85,1,"Inactive Customers"
12790,191,1,324.92,1,"Inactive Customers"
12791,373,1,192.6,1,"Inactive Customers"
12792,256,1,400.54,1,"Inactive Customers"
12793,334,2,545.48,1,"Inactive Customers"
12794,52,2,860.41,4,"Regular Customers"
12795,18,1,430.48,2,"Occasional Customers"
12797,365,1,254.03,1,"Inactive Customers"
12798,9,3,6977.04,3,"High-Value Customers"
12802,186,1,427.58,1,"Inactive Customers"
12808,36,3,483.65,2,"Occasional Customers"
12809,177,1,489.31,1,"Inactive Customers"
12811,260,3,514.85,1,"Inactive Customers"
12812,44,1,229.64,1,"Inactive Customers"
12814,101,1,125.92,1,"Inactive Customers"
12815,147,2,1063.46,4,"Regular Customers"
12816,95,2,572.2,1,"Inactive Customers"
12817,280,1,166.04,1,"Inactive Customers"
12818,261,1,1542.08,1,"Inactive Customers"
12820,2,4,942.34,2,"Occasional Customers"
12821,213,1,92.72,1,"Inactive Customers"
12822,70,2,948.88,4,"Regular Customers"
12823,74,5,1759.5,4,"Regular Customers"
12824,59,1,397.12,1,"Inactive Customers"
12826,2,7,1474.72,3,"High-Value Customers"
12827,5,3,430.15,2,"Occasional Customers"
12828,2,6,1018.71,3,"High-Value Customers"
12829,336,2,293,1,"Inactive Customers"
12830,37,6,6814.64,4,"Regular Customers"
12831,261,1,215.05,1,"Inactive Customers"
12832,31,2,383.03,2,"Occasional Customers"
12833,144,1,417.38,1,"Inactive Customers"
12834,282,1,312.38,1,"Inactive Customers"
12836,58,4,2612.86,4,"Regular Customers"
12837,172,1,134.1,1,"Inactive Customers"
12838,33,2,683.13,2,"Occasional Customers"
12839,2,14,5591.42,3,"High-Value Customers"
12840,143,4,2726.77,4,"Regular Customers"
12841,4,25,4022.35,3,"High-Value Customers"
12842,69,2,1118.99,4,"Regular Customers"
12843,65,8,1702.26,4,"Regular Customers"
12844,28,2,325.96,2,"Occasional Customers"
12845,266,4,354.09,1,"Inactive Customers"
12847,21,1,871.54,2,"Occasional Customers"
12849,30,2,1050.89,4,"Regular Customers"
12851,96,1,135.18,1,"Inactive Customers"
12852,294,1,311.55,1,"Inactive Customers"
12853,134,6,1957.1,4,"Regular Customers"
12854,78,3,1324.5,4,"Regular Customers"
12855,372,1,38.1,1,"Inactive Customers"
12856,7,6,2179.93,3,"High-Value Customers"
12857,210,2,1106.4,1,"Inactive Customers"
12863,51,1,521.2,1,"Inactive Customers"
12864,137,1,147.12,1,"Inactive Customers"
12865,25,2,1568.23,4,"Regular Customers"
12866,282,1,559.12,1,"Inactive Customers"
12867,25,7,4036.82,3,"High-Value Customers"
12868,185,6,1607.06,4,"Regular Customers"
12871,83,2,380.64,1,"Inactive Customers"
12872,326,2,599.97,1,"Inactive Customers"
12873,281,1,374,1,"Inactive Customers"
12875,142,2,343.23,1,"Inactive Customers"
12876,57,2,2218.02,4,"Regular Customers"
12877,3,12,1535.77,3,"High-Value Customers"
12878,235,2,854.99,1,"Inactive Customers"
12879,44,3,573.22,4,"Regular Customers"
12881,275,1,298,1,"Inactive Customers"
12882,8,2,1463.04,2,"Occasional Customers"
12883,24,4,703.47,4,"Regular Customers"
12884,87,1,309.05,1,"Inactive Customers"
12885,62,3,1175.22,4,"Regular Customers"
12886,67,2,1378.4,4,"Regular Customers"
12888,213,2,354.12,1,"Inactive Customers"
12890,23,1,380.47,2,"Occasional Customers"
12891,185,3,331,1,"Inactive Customers"
12893,30,1,188.14,2,"Occasional Customers"
12895,41,2,372.8,2,"Occasional Customers"
12897,204,2,216.5,1,"Inactive Customers"
12901,8,28,17654.54,3,"High-Value Customers"
12902,264,1,138.68,1,"Inactive Customers"
12904,17,2,509.58,2,"Occasional Customers"
12906,11,5,2919.81,3,"High-Value Customers"
12908,175,2,750,1,"Inactive Customers"
12909,39,5,2178.67,4,"Regular Customers"
12910,22,8,3075.04,3,"High-Value Customers"
12912,2,5,1662.3,3,"High-Value Customers"
12913,4,5,2483.63,3,"High-Value Customers"
12915,148,2,363.65,1,"Inactive Customers"
12916,138,4,3006.15,4,"Regular Customers"
12917,127,1,594,1,"Inactive Customers"
12919,7,6,1335.19,3,"High-Value Customers"
12920,16,1,164.23,2,"Occasional Customers"
12921,8,37,16587.09,3,"High-Value Customers"
12922,160,1,405.38,1,"Inactive Customers"
12923,63,1,176.97,1,"Inactive Customers"
12924,87,4,933.7,4,"Regular Customers"
12925,4,2,694.05,2,"Occasional Customers"
12928,34,5,2062.7,4,"Regular Customers"
12929,311,1,117.85,1,"Inactive Customers"
12930,77,2,415.8,1,"Inactive Customers"
12931,21,15,42055.96,3,"High-Value Customers"
12933,23,3,607.53,2,"Occasional Customers"
12935,1,7,2160.7,3,"High-Value Customers"
12936,16,4,1063.9,4,"Regular Customers"
12937,14,4,1504.27,4,"Regular Customers"
12938,25,1,114.14,2,"Occasional Customers"
12939,63,8,11581.8,3,"High-Value Customers"
12940,54,2,913.54,4,"Regular Customers"
12942,130,3,683.9,4,"Regular Customers"
12944,35,2,604.51,2,"Occasional Customers"
12945,287,1,462.95,1,"Inactive Customers"
12947,143,6,1603.99,4,"Regular Customers"
12948,15,7,2064.95,3,"High-Value Customers"
12949,30,8,4167.22,3,"High-Value Customers"
12950,1,3,1843,2,"Occasional Customers"
12951,8,6,1064.07,4,"Regular Customers"
12952,5,4,1387.79,2,"Occasional Customers"
12953,9,1,329.85,2,"Occasional Customers"
12955,0,11,4757.16,3,"High-Value Customers"
12956,305,1,108.07,1,"Inactive Customers"
12957,9,8,4017.54,3,"High-Value Customers"
12962,6,2,266.39,2,"Occasional Customers"
12963,7,8,1856.63,3,"High-Value Customers"
12965,88,1,771.91,1,"Inactive Customers"
12966,9,1,160.18,2,"Occasional Customers"
12967,357,2,1660.9,4,"Regular Customers"
12968,111,1,135.95,1,"Inactive Customers"
12970,6,4,452.24,2,"Occasional Customers"
12971,3,86,11189.91,3,"High-Value Customers"
12974,197,1,144.8,1,"Inactive Customers"
12976,211,1,738.6,1,"Inactive Customers"
12977,155,1,39.24,1,"Inactive Customers"
12980,157,9,7374.9,4,"Regular Customers"
12981,29,2,372.22,2,"Occasional Customers"
12982,242,1,390.54,1,"Inactive Customers"
12984,18,1,97.5,2,"Occasional Customers"
12985,0,2,1239.38,2,"Occasional Customers"
12987,73,2,558.7,1,"Inactive Customers"
12988,291,1,535.32,1,"Inactive Customers"
12989,2,15,6924.11,3,"High-Value Customers"
12990,30,3,409.5,2,"Occasional Customers"
12991,22,2,503.76,2,"Occasional Customers"
12993,22,4,414.76,2,"Occasional Customers"
12994,3,3,974.42,2,"Occasional Customers"
12995,84,1,211.32,1,"Inactive Customers"
12997,21,4,1226.89,4,"Regular Customers"
12999,195,3,455.88,1,"Inactive Customers"
13000,106,3,534.85,4,"Regular Customers"
13001,3,13,9818.82,3,"High-Value Customers"
13002,317,1,120.95,1,"Inactive Customers"
13003,105,3,149.05,1,"Inactive Customers"
13004,11,18,5655.91,3,"High-Value Customers"
13005,173,2,513.7,1,"Inactive Customers"
13006,55,1,81.57,1,"Inactive Customers"
13008,322,1,229.47,1,"Inactive Customers"
13011,371,1,50.55,1,"Inactive Customers"
13012,8,8,1661.84,3,"High-Value Customers"
13013,0,13,4810.94,3,"High-Value Customers"
13014,10,10,3466.28,3,"High-Value Customers"
13015,52,5,3346.28,4,"Regular Customers"
13016,72,3,789.89,4,"Regular Customers"
13017,6,1,204,2,"Occasional Customers"
13018,15,28,7277.7,3,"High-Value Customers"
13021,3,9,2616.38,3,"High-Value Customers"
13023,63,2,689.9,4,"Regular Customers"
13026,0,5,975.36,3,"High-Value Customers"
13027,113,6,6912,4,"Regular Customers"
13028,22,2,661.32,2,"Occasional Customers"
13029,30,3,1247.5,4,"Regular Customers"
13030,10,2,799.48,2,"Occasional Customers"
13032,51,2,1010.18,4,"Regular Customers"
13033,356,1,190.55,1,"Inactive Customers"
13034,54,2,642.77,4,"Regular Customers"
13035,73,2,921.88,4,"Regular Customers"
13037,137,3,881.07,4,"Regular Customers"
13038,79,3,908.46,4,"Regular Customers"
13040,8,2,676.99,2,"Occasional Customers"
13043,272,1,516.42,1,"Inactive Customers"
13044,290,1,560.47,1,"Inactive Customers"
13045,98,1,305.28,1,"Inactive Customers"
13046,30,2,629.31,2,"Occasional Customers"
13047,31,10,3237.54,3,"High-Value Customers"
13048,13,4,1835.91,4,"Regular Customers"
13049,63,2,656.68,4,"Regular Customers"
13050,14,17,5836.86,3,"High-Value Customers"
13052,211,1,348.15,1,"Inactive Customers"
13055,77,3,1214.41,4,"Regular Customers"
13058,24,3,271.4,2,"Occasional Customers"
13059,249,1,183.4,1,"Inactive Customers"
13060,253,1,307.53,1,"Inactive Customers"
13061,71,1,248.61,1,"Inactive Customers"
13062,190,1,346.98,1,"Inactive Customers"
13064,12,4,1119.49,4,"Regular Customers"
13065,372,1,205.86,1,"Inactive Customers"
13066,23,2,470.8,2,"Occasional Customers"
13067,81,1,115.46,1,"Inactive Customers"
13068,9,2,344,2,"Occasional Customers"
13069,0,24,4436.12,3,"High-Value Customers"
13070,191,1,228.8,1,"Inactive Customers"
13072,266,1,177.15,1,"Inactive Customers"
13075,129,1,919.61,1,"Inactive Customers"
13077,0,4,729.27,2,"Occasional Customers"
13078,2,26,12627.94,3,"High-Value Customers"
13079,3,5,220.1,2,"Occasional Customers"
13080,178,1,58.08,1,"Inactive Customers"
13081,11,11,28337.38,3,"High-Value Customers"
13082,125,9,3613.63,4,"Regular Customers"
13083,3,2,303.75,2,"Occasional Customers"
13085,157,2,416.08,1,"Inactive Customers"
13089,2,97,58825.83,3,"High-Value Customers"
13090,8,14,8910.82,3,"High-Value Customers"
13091,27,1,345.82,2,"Occasional Customers"
13092,70,5,477.83,4,"Regular Customers"
13093,275,8,7832.47,4,"Regular Customers"
13094,20,12,1927.32,3,"High-Value Customers"
13095,70,1,74.4,1,"Inactive Customers"
13097,32,10,6010.42,3,"High-Value Customers"
13098,0,28,28882.44,3,"High-Value Customers"
13099,98,1,207.36,1,"Inactive Customers"
13101,233,1,101.19,1,"Inactive Customers"
13102,0,24,6424.09,3,"High-Value Customers"
13103,39,1,243.94,1,"Inactive Customers"
13104,2,6,1098.48,3,"High-Value Customers"
13106,132,1,76.5,1,"Inactive Customers"
13107,43,4,1531.62,4,"Regular Customers"
13108,372,1,350.06,1,"Inactive Customers"
13109,59,2,786.54,4,"Regular Customers"
13110,30,7,1488.67,4,"Regular Customers"
13113,0,24,12245.96,3,"High-Value Customers"
13115,11,4,2294.78,4,"Regular Customers"
13116,137,1,501.14,1,"Inactive Customers"
13117,21,8,984.91,4,"Regular Customers"
13118,19,5,1197.81,4,"Regular Customers"
13120,238,1,30.6,1,"Inactive Customers"
13121,268,1,283.73,1,"Inactive Customers"
13122,93,2,922.39,4,"Regular Customers"
13124,89,3,3866.33,4,"Regular Customers"
13126,4,8,2099.64,3,"High-Value Customers"
13127,77,1,259.17,1,"Inactive Customers"
13130,93,1,64,1,"Inactive Customers"
13131,22,3,1073.3,4,"Regular Customers"
13132,261,1,77.3,1,"Inactive Customers"
13133,273,2,109.8,1,"Inactive Customers"
13134,85,4,1793.58,4,"Regular Customers"
13135,196,1,3096,4,"Regular Customers"
13136,55,5,2607.61,4,"Regular Customers"
13137,10,8,3650.41,3,"High-Value Customers"
13138,21,6,962.39,4,"Regular Customers"
13139,15,7,5064.94,3,"High-Value Customers"
